Bifidobacterium actinocoloniiforme,DSM 22766T
Bifidobacterium adolescentis,ATCC 15703T
Bifidobacterium adolescentis,150
Bifidobacterium adolescentis,1892B
Bifidobacterium adolescentis,22L
Bifidobacterium adolescentis,2789STDY5608824
Bifidobacterium adolescentis,2789STDY5608862
Bifidobacterium adolescentis,2789STDY5834850
Bifidobacterium adolescentis,42B
Bifidobacterium adolescentis,487B
Bifidobacterium adolescentis,703B
Bifidobacterium adolescentis,70B
Bifidobacterium adolescentis,AD2-8
Bifidobacterium adolescentis,AL12-4
Bifidobacterium adolescentis,AL46-2
Bifidobacterium adolescentis,AL46-7
Bifidobacterium adolescentis,BBMN23
Bifidobacterium adolescentis,DSM 24849
Bifidobacterium adolescentis,IVS-1
Bifidobacterium adolescentis,Km 4
Bifidobacterium adolescentis,L2-32
Bifidobacterium adolescentis,LMG 10733
Bifidobacterium adolescentis,LMG 10734
Bifidobacterium adolescentis,LMG 11579
Bifidobacterium adolescentis,LMG 18897
Bifidobacterium aesculapii,DSM 26737T
Bifidobacterium angulatum,LMG 11039T
Bifidobacterium animalis,08
Bifidobacterium animalis,11
Bifidobacterium animalis,A6
Bifidobacterium animalis,RH
Bifidobacterium animalis subsp. animalis,LMG 10508T
Bifidobacterium animalis subsp. animalis,ATCC 27672
Bifidobacterium animalis subsp. animalis,IM386
Bifidobacterium animalis subsp. animalis,MCC 0483
Bifidobacterium animalis subsp. animalis,MCC 0499
Bifidobacterium animalis subsp. animalis,MCC 1489
Bifidobacterium animalis subsp. animalis,YL2
Bifidobacterium animalis subsp. lactis,DSM 10140T
Bifidobacterium animalis subsp. lactis,646
Bifidobacterium animalis subsp. lactis,AD011
Bifidobacterium animalis subsp. lactis,ATCC 27536
Bifidobacterium animalis subsp. lactis,ATCC 27673
Bifidobacterium animalis subsp. lactis,ATCC 27674
Bifidobacterium animalis subsp. lactis,B420
Bifidobacterium animalis subsp. lactis,BB-12
Bifidobacterium animalis subsp. lactis,BF052
Bifidobacterium animalis subsp. lactis,Bi-07
Bifidobacterium animalis subsp. lactis,Bl-04
Bifidobacterium animalis subsp. lactis,Bl12
Bifidobacterium animalis subsp. lactis,BLC1
Bifidobacterium animalis subsp. lactis,BS 01
Bifidobacterium animalis subsp. lactis,CECT 8145
Bifidobacterium animalis subsp. lactis,CNCM I-2494
Bifidobacterium animalis subsp. lactis,HN019
Bifidobacterium animalis subsp. lactis,KLDS2.0603
Bifidobacterium animalis subsp. lactis,V9
Bifidobacterium aquikefiri,LMG 28769T
Bifidobacterium asteroides,LMG 10735T
Bifidobacterium asteroides,Bin2
Bifidobacterium asteroides,Bin7
Bifidobacterium asteroides,DSM 20089
Bifidobacterium asteroides,Hma3
Bifidobacterium biavatii,DSM 23969T
Bifidobacterium bifidum,LMG 11041T
Bifidobacterium bifidum,141
Bifidobacterium bifidum,170
Bifidobacterium bifidum,791
Bifidobacterium bifidum,156B
Bifidobacterium bifidum,1887B
Bifidobacterium bifidum,2789STDY5608877
Bifidobacterium bifidum,324B
Bifidobacterium bifidum,62 13
Bifidobacterium bifidum,85B
Bifidobacterium bifidum,A8
Bifidobacterium bifidum,BF3
Bifidobacterium bifidum,BGN4
Bifidobacterium bifidum,BI-14
Bifidobacterium bifidum,Calf96
Bifidobacterium bifidum,ICIS-310
Bifidobacterium bifidum,IPLA 20015
Bifidobacterium bifidum,IPLA 20017
Bifidobacterium bifidum,JCM 1254
Bifidobacterium bifidum,LMG 11582
Bifidobacterium bifidum,LMG 11583
Bifidobacterium bifidum,LMG 13195
Bifidobacterium bifidum,LMG 13200
Bifidobacterium bifidum,MJR8628B
Bifidobacterium bifidum,NCIMB 41171
Bifidobacterium bifidum,PRL2010
Bifidobacterium bifidum,S17
Bifidobacterium bohemicum,DSM 22767T
Bifidobacterium bombi,DSM 19703T
Bifidobacterium boum,LMG 10736T
Bifidobacterium breve,LMG 13208T
Bifidobacterium breve,07
Bifidobacterium breve,10
Bifidobacterium breve,141
Bifidobacterium breve,12L
Bifidobacterium breve,1889B
Bifidobacterium breve,1891B
Bifidobacterium breve,1900B
Bifidobacterium breve,2L
Bifidobacterium breve,31L
Bifidobacterium breve,689b
Bifidobacterium breve,ACS-071-V-Sch8b
Bifidobacterium breve,BBRI4
Bifidobacterium breve,BR-06
Bifidobacterium breve,BR-07
Bifidobacterium breve,BR-10
Bifidobacterium breve,BR-14
Bifidobacterium breve,BR-15
Bifidobacterium breve,BR-19
Bifidobacterium breve,BR-20
Bifidobacterium breve,BR-21
Bifidobacterium breve,BR3
Bifidobacterium breve,BR-A29
Bifidobacterium breve,BR-C29
Bifidobacterium breve,BR-H29
Bifidobacterium breve,BR-I29
Bifidobacterium breve,BR-L29
Bifidobacterium breve,CECT7263
Bifidobacterium breve,DPC 6330
Bifidobacterium breve,GED8481
Bifidobacterium breve,HPH0326
Bifidobacterium breve,JCM 7017
Bifidobacterium breve,JCM 7019
Bifidobacterium breve,JCP7499
Bifidobacterium breve,LMC520
Bifidobacterium breve,MCC 0121
Bifidobacterium breve,MCC 0305
Bifidobacterium breve,MCC 0476
Bifidobacterium breve,MCC 1094
Bifidobacterium breve,MCC 1114
Bifidobacterium breve,MCC 1128
Bifidobacterium breve,MCC 1340
Bifidobacterium breve,MCC 1454
Bifidobacterium breve,MCC 1604
Bifidobacterium breve,MCC 1605
Bifidobacterium breve,NCFB 2258
Bifidobacterium breve,RP2
Bifidobacterium breve,S27
Bifidobacterium breve,UCC2003
Bifidobacterium callitrichos,DSM 23973T
